Merk,Tipe,HT,STT,ST,Ket
Lenovo,Vibe P1 / p1 turbo,✓,,,
Lenovo,Vibe P1M,✓,✓,✓,
Lenovo,Vibe S1,,,✓,
Lenovo,Vibe X (S960),✓,✓,,
Lenovo,Vibe X2,✓,,,
Lenovo,Vibeshot,✓,,,
LG,Bello,✓,,,
LG,Fino,✓,,,
LG,G Pro 2,✓,,,
LG,G Pro Lite,✓,,,
LG,G2 Mini,✓,,,
LG,G2,✓,,,
LG,G3 Beats,,,✓,
LG,G3 Mini,,,✓,NEW!!!
LG,G3 Stylus / D690,✓,✓,,
LG,G3,✓,✓,✓,
LG,G4 Stylus,✓,✓,✓,NEW!!!
LG,G4,✓,✓,✓,
LG,G5,✓,✓,✓,NEW!!!
LG,G6,,,✓,NEW!!!
LG,K10 2017,✓,✓,,NEW!!!
LG,K10,✓,,,
LG,K4,✓,,,
LG,K8,✓,✓,,NEW!!!
LG,L70,✓,,,
LG,L80,✓,,,
LG,L90,✓,,,
LG,Leon,✓,,,
LG,Magna,✓,✓,,
LG,Stylus 2,✓,,,
LG,V20,✓,,,NEW!!!
LG,X power,✓,,,NEW!!!
Meizu,M2 Note,✓,,,
Meizu,M2,✓,,✓,
Meizu,M3 Note,✓,,✓,NEW!!!
Meizu,M3S,✓,✓,,NEW!!!
Meizu,M5,✓,,✓,NEW!!!
Meizu,M5 Note,,,✓,NEW!!!
Meizu,MX6,,,✓,NEW!!!
Nexus,4,✓,,,
Nexus,5,✓,,,
Nexus,5X / LG Angler,✓,,,NEW!!!
Nexus,5X,✓,,,
Nokia,Lumia 535,✓,,,
Nokia,Lumia 540,,,✓,
Nokia,Lumia 625,✓,,✓,
Nokia,X2,,,✓,
Nokia,XL,,,✓,
One,Plus One,✓,,,
One,Plus Three,✓,,,NEW!!!
One,Plus X,✓,,,
Oppo,A11 / Joy 3,✓,✓,✓,
Oppo,A319,,,✓,
Oppo,A39,✓,✓,✓,NEW!!!
Oppo,A51 / Mirror 5,✓,✓,✓,
Oppo,A519,,,✓,
Oppo,A53,✓,,,
Oppo,A57,✓,,,NEW!!!
Oppo,Clover R815T,✓,,,
Oppo,F1 Plus,✓,✓,✓,
Oppo,F1,✓,✓,✓,
Oppo,F1S / A59,✓,✓,✓,
Oppo,F3 / A77,✓,,✓,NEW!!!
Oppo,F3 Plus,✓,,✓,NEW!!!
Oppo,Find 5 Mini,✓,✓,✓,
Oppo,Find 5,✓,,,
Oppo,Find 7,✓,,✓,
Oppo,Find Way S,✓,,,
Oppo,Find Way,,✓,,
Oppo,Joy / Plus,✓,✓,,
Oppo,Mirror 3,✓,✓,,
Oppo,Mirror R819,✓,,,
Oppo,Muse,✓,,,
Oppo,N1 Mini,✓,,,
Oppo,N1,✓,,,
Oppo,N3,✓,,,
Oppo,Neo 3,✓,✓,✓,
Oppo,Neo 5 / A31 ,✓,✓,✓,
Oppo,Neo 7 / A33,✓,✓,✓,
Oppo,Neo 9 / A37,✓,✓,✓,
Oppo,Neo,✓,,,
Oppo,R1,✓,✓,,
Oppo,R1x,✓,,,
Oppo,R5,✓,✓,,
oppo,R7 / lite,✓,✓,✓,
Oppo,R7 PLUS,✓,,,
Oppo,R7S,✓,✓,✓,
Oppo,R9S Plus,,,✓,NEW!!!
Oppo,R9S,,,✓,
Oppo,Yoyo,✓,✓,,
Samsung Tab S2 9.7 inch (T815),,,✓,
Samsung,,✓,,,
Samsung,A3 2016,✓,✓,✓,
Samsung,A3,✓,✓,✓,
Samsung,A320/ A3 2017,✓,✓,✓,NEW!!!
Samsung,A5 2016,✓,✓,✓,
Samsung,A5 2017,✓,✓,✓,NEW!!!
Samsung,A5,✓,✓,✓,
Samsung,A7 2016,✓,✓,✓,
Samsung,A7 2017,✓,✓,✓,NEW!!!
Samsung,A7,✓,✓,✓,
Samsung,A8 2016,✓,,,NEW!!!
Samsung,A8,✓,✓,,
Samsung,A9 2016,✓,✓,,
Samsung,A9 Pro,✓,✓,,NEW!!!
Samsung,A9,,,✓,
Samsung,ACE 1,✓,,,
Samsung,ACE 2,✓,,,
